id,park_name,park_type,address_road,address_land,latitude,longitude,area,sports_facility,amusement_facility,convenience_facility,cultural_facility,other_facility,designated_date,management_agency,tel,data_date,agency_code,agency_name
46150-00151,소공원17,소공원,,전라남도 순천시 저전동128-2,34.95168551,127.4809682,236,,,,,,2005-12-05,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00150,소공원15,소공원,,전라남도 순천시 저전동 260-6(갈마골),34.9463227,127.4826429,851,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00149,소공원14,소공원,,전라남도 순천시 인제동 359-36(상인제),34.9441953,127.4812481,1112,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00148,소공원13,소공원,,전라남도 순천시 남정동210(남정),34.9429227,127.4865159,214,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00147,소공원12,소공원,,전라남도 순천시 인제동 123-7(인제),34.9461767,127.4828767,797,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00146,소공원11,소공원,,전라남도 순천시 연향동 116-5(연향),34.9373408,127.5248775,671,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00145,소공원10,소공원,,전라남도 순천시 생목동15-5(생목),34.9522255,127.5099042,262,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00176,명말1공원,소공원,,전라남도 순천시 연향동1092-1,34.93895282,127.5140952,697,,,,,,2017-08-16,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00181,동천그린웨이,수변공원,,전라남도 순천시 매곡동 549-1,34.96287044,127.4886346,16765,,,,,,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00180,강청수변공원,수변공원,,전라남도 순천시 서면 선평리 818,34.9872296,127.4993829,61478,축구장+ 인라인스케이트장+ 밸런스바이크장,그물놀이터+ 그네+ 집라인,화장실+ 음수대,기적의 놀이터 3호,분수시설,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00179,83공원,어린이공원,,전라남도 순천시 해룡면 상삼리 930,34.94309795,127.5302007,4415,,조합놀이대,화장실+ 음수대,,,2016-12-31,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00175,소공원44,소공원,,전라남도 순천시 선평리 42-3,34.9823794,127.504105,8303,,,,,,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
