system:index,address_land,address_road,agency_code,agency_name,amusement_facility,area,buffer_100_lst,buffer_200_lst,buffer_300_lst,buffer_500_lst,buffer_50_lst,convenience_facility,cultural_facility,data_date,designated_date,id,management_agency,other_facility,park_lst,park_name,park_ndvi,park_type,sports_facility,tel,.geo
00000000000000000028,,전라남도 순천시 낙안면 삼일로 71,4820000,전라남도 순천시,,6700.0,44.66890376389243,42.74899292304988,41.32965692406532,40.59698758746778,45.58365073012659,주차장,,2024-11-19,1985-04-12,46150-00020,전라남도 순천시청,,45.930675199999996,동내공원,0.16664125628906845,근린공원,,061-749-8831,"{""type"":""Point"",""coordinates"":[127.34385511350756,34.90457666167516]}"
0000000000000000003f,전라남도 순천시 연향동1352,,4820000,전라남도 순천시,조합놀이대+그네+시소,10985.0,46.49032500843215,47.087836171868624,47.44536454193094,47.671606067914794,46.44761735831166,화장실,,2024-11-19,1990-09-27,46150-00045,전라남도 순천시청,,46.54933682000001,동성공원,0.25547286258849156,근린공원,족구장+농구장,061-749-6330,"{""type"":""Point"",""coordinates"":[127.51725171707186,34.94891350344956]}"
00000000000000000060,전라남도 순천시 해룡면 상삼리619+ 조례동1622,,4820000,전라남도 순천시,조합놀이대,13845.0,44.03538883532665,45.03576287054888,45.6533767944554,45.39453654271056,43.467984793680735,화장실,,2024-11-19,1993-04-27,46150-00064,전라남도 순천시청,,43.438938620000044,상삼1공원,0.3919876422982639,근린공원,게이트볼장,061-749-6330,"{""type"":""Point"",""coordinates"":[127.53173933639451,34.95055891173829]}"
0000000000000000005f,전라남도 순천시 연향동 1441,전라남도 순천시 신흥중1길28,4820000,전라남도 순천시,,21134.0,47.4236945730617,47.44630781358834,47.549143821489295,47.56983628629619,47.40445680947213,화장실,,2024-11-19,1995-08-29,46150-00065,전라남도 순천시청,,47.26028498000005,금당공원,0.2550365617072079,근린공원,족구장+농구장,061-749-6330,"{""type"":""Point"",""coordinates"":[127.52555456323337,34.95060350274882]}"
0000000000000000005d,전라남도 순천시 조례동1822,,4820000,전라남도 순천시,조합놀이대,12875.0,43.84088867932287,44.262803744877495,43.881377084794714,42.41109788100542,43.472225560498174,주차장+화장실,,2024-11-19,1995-08-29,46150-00067,전라남도 순천시청,,43.25094752000001,왕지공원,0.3385117062983182,근린공원,,061-749-6330,"{""type"":""Point"",""coordinates"":[127.53415616916546,34.95514732672228]}"
00000000000000000057,전라남도 순천시 연향동1632,,4820000,전라남도 순천시,,41725.0,40.04360459063655,40.66319157492043,41.37031426676096,41.63382014917618,40.48656505607291,,,2024-11-19,2001-11-30,46150-00074,전라남도 순천시청,,39.82950950000003,호반4공원,0.42694483734087696,근린공원,,061-749-6330,"{""type"":""Point"",""coordinates"":[127.52951870406989,34.9386129800161]}"
00000000000000000056,전라남도 순천시 연향동1694+ 1301,,4820000,전라남도 순천시,,11317.0,41.19140029732044,41.80858744715272,42.83164689655694,44.386195933390105,41.0979864618433,화장실,,2024-11-19,2001-11-30,46150-00075,전라남도 순천시청,,41.05316066,연향3근린공원,0.35603182567557884,근린공원,농구장,061-749-6330,"{""type"":""Point"",""coordinates"":[127.51046942436956,34.9379530330602]}"
0000000000000000004f,,전라남도 순천시 해룡면 정채봉길 171,4820000,전라남도 순천시,,23855.0,33.63681003253282,33.99472481157295,33.99977356325134,34.742239794479275,33.33999089379621,,,2024-11-19,2004-11-13,46150-00082,전라남도 순천시청,,33.58478696000003,19공원,0.2767579779723242,근린공원,,061-749-6330,"{""type"":""Point"",""coordinates"":[127.55932779461216,34.91382929636106]}"
00000000000000000082,전라남도 순천시 왕지동895,,4820000,전라남도 순천시,그네,11686.0,40.74779402224268,40.59598361388666,40.91062950495863,40.8321863540949,40.77412396532091,화장실,,2024-11-19,2004-11-13,46150-00083,전라남도 순천시청,,41.08050481999999,왕운공원,0.31299846089268224,근린공원,농구장,061-749-6330,"{""type"":""Point"",""coordinates"":[127.52448437898052,34.97460238461847]}"
00000000000000000078,전라남도 순천시 해룡면 신대리2090,,4820000,전라남도 순천시,조합놀이대+그네,13739.0,43.3735990398716,44.449031648765164,44.585753358957966,43.801001968631574,42.810357118163594,화장실,,2024-11-19,2006-11-03,46150-00093,전라남도 순천시청,,42.92623562000006,21공원,0.2546066442304488,근린공원,,061-749-6330,"{""type"":""Point"",""coordinates"":[127.55182312753921,34.93149625473481]}"
